Day,SuicideAttemptCount,SocialMediaDiscussion
16993,18,78.52756803401384
16994,29,45.25811074825734
16995,18,31.274935420848827
16996,15,18.224527123967125
16997,17,47.83817206911537
16998,15,29.51910647303191
16999,20,29.12081158243705
17000,17,25.036247032359018
17001,19,28.569191577566425
17002,19,65.25657175666637
17003,18,98.34128907343606
17004,18,61.86503618716973
17005,12,34.056850510099814
17006,21,32.56992332986807
17007,7,23.571626054398795
17008,13,21.17293934024251
17009,23,450.83632584985605
17010,17,237.98735055702116
17011,24,248.1325494011404
17012,18,143.23922447871917
17013,19,108.96689498973622
17014,15,61.798488540740145
17015,22,54.871617305523195
17016,22,62.82065270540002
17017,13,82.94725269024353
17018,18,87.49369672850476
17019,17,111.0275696301575
17020,16,62.87607354675371
17021,20,51.870437937362745
17022,14,33.59901178482678
17023,19,375.1712939424092
17024,25,215.5644140687108
17025,17,153.1570073237426
17026,14,329.2233258390238
17027,26,186.77265545858623
17028,20,111.9221950621176
17029,20,216.1455903846488
17030,16,137.1192649521669
17031,15,82.1897629782101
17032,22,63.90995388516445
17033,17,11943.592914237697
17034,20,5986.599048883207
17035,13,4247.753949531727
17036,17,2160.9916140722376
17037,26,1099.6462685455247
17038,16,568.8889692297998
17039,21,304.7045392337275
17040,19,180.70986099755885
17041,16,150.8077098504983
17042,26,139.92105144291764
17043,19,1636.5674024537677
17044,15,828.2481021142758
17045,16,423.14030341804926
17046,19,278.79474863029856
17047,11,142.54335921899516
17048,24,93.32194088634347
17049,22,78.63217666938804
17050,19,68.33872744916846
17051,20,39.36891185101662
17052,19,43.08314364744101
17053,21,26.581275979488126
17054,16,17.237803684136942
17055,19,36.81459570945888
17056,19,21.31620300709777
17057,22,17.381145975830776
17058,14,31.535317393703636
17059,22,33.51210999472201
17060,17,44.688261453043744
17061,21,26.502541637681418
17062,20,22.205027478350836
17063,14,37.660230014342226
17064,17,53.22182704854748
17065,14,144.78512992039657
17066,17,81.50746879499094
17067,15,1615.4806666313914
17068,16,810.6892776261883
17069,10,409.7790674259681
17070,15,211.48761212823015
17071,17,122.8683529323729
17072,21,100.41480578452042
17073,16,57.82295968311426
17074,26,46.620046900731545
17075,23,73.61585351363198
17076,22,56.39613044899347
17077,18,57.17838355017
17078,22,62.280523464575474
17079,12,34.50726820082795
17080,13,89.88231828977422
17081,20,113.21318856539715
17082,16,79.34346426630789
17083,18,48.53023278319621
17084,25,37.43006455472414
17085,17,48.665008513700634
17086,26,136.92369022606564
17087,14,94.19169615136236
17088,9,55.262954177028746
17089,21,158.6218125963391
17090,29,127.5605513314887
17091,26,233.71858188986118
17092,18,137.3165715340292
17093,24,78.30680622244085
17094,19,86.64292872923448
17095,18,160.07702746726974
17096,22,90.12631022642316
17097,15,61.44180188428837
17098,14,38.71940855523325
17099,18,68.08713432595023
17100,15,37.71629804397463
17101,16,26.628230086884436
17102,12,24.745134914744742
17103,22,241.43315990868757
17104,23,163.37299360593232
17105,11,87.34929757443365
17106,19,138.58719457571547
17107,20,70.6851769173183
17108,17,49.36030068809221
17109,15,45.00368872257654
17110,17,39.07353655710327
17111,16,77.88393730009358
17112,18,89.41648537070243
17113,23,136.13379694842058
17114,28,198.42474014132102
17115,22,134.50661179733268
17116,21,86.78729601729503
17117,22,55.23452229866592
17118,26,60.583059806016685
17119,21,120.88590211523052
17120,15,66.42271957078485
17121,22,44.29129214826909
17122,21,39.68728202387805
17123,18,61.35145920130925
17124,14,36.30267749589703
17125,15,27.854826574361987
17126,18,29.84134406033108
17127,17,33.82997183201841
17128,15,27.14973820927899
17129,18,19.973479080914707
17130,12,30.981549822241227
17131,17,83.90396291223232
17132,14,64.80556554191583
17133,20,153.4648868766153
17134,12,107.11302264169936
17135,22,92.47449897223137
17136,20,100.18042712248868
17137,22,76.05600450717645
17138,14,46.63966030988267
17139,13,28.07692135891333
17140,10,15.303720157778734
17141,16,59.82637033038459
17142,19,83.26163388197678
17143,19,113.140387928424
17144,28,121.64869446047534
17145,19,85.52663622582428
17146,12,47.8189658025851
17147,24,29.760803368964556
17148,13,20.5993730734409
17149,15,34.86744420398746
17150,23,53.57702923200342
17151,21,31.179098759736444
17152,13,32.904436388375935
17153,21,23.795573110322202
17154,20,35.4190511761972
17155,12,32.53195805320938
17156,17,22.334308343675858
17157,26,44.82670416153454
17158,16,125.35209639613974
17159,25,71.95435987238217
17160,22,43.184444021841905
17161,19,33.97879569700711
17162,22,56.515091948120805
17163,20,167.00924246009566
17164,23,119.2786454170704
17165,21,78.97449911754171
17166,14,55.181649126490576
17167,12,46.02063564096502
17168,8,24.65190841930583
17169,17,170.0048282986089
17170,14,105.44274107036244
17171,13,55.13107299772677
17172,18,37.83462213026029
17173,19,1591.2330970944915
17174,28,820.5131757772008
17175,9,415.71208366643776
17176,18,272.5470921878297
17177,17,145.5704859228651
17178,12,154.39845312821578
17179,15,88.9210006949247
17180,20,64.18912841073453
17181,18,107.8476774442896
17182,26,87.15906926635265
17183,20,60.623761314846305
17184,24,152.78341257642506
17185,23,95.50215130424318
17186,14,65.59044299448368
17187,20,42.788882714851646
17188,16,40.16973255250722
17189,18,57.445385454250285
17190,16,33.933929878325735
17191,18,89.95793758439015
17192,18,55.69757451458744
17193,15,42.826593456503694
17194,19,31.915263626990075
17195,11,43.80778953442834
17196,20,49.54899283563158
17197,16,48.411095895462715
17198,12,35.80749099507024
17199,11,25.460339675713467
17200,25,33.26502713714354
17201,21,64.52450933500704
17202,19,46.720768679688376
17203,17,56.22654984996694
17204,17,44.773682704714155
17205,18,38.942356239032456
17206,20,59.94509605886341
17207,21,112.85156575691268
17208,17,62.6158338003968
17209,16,87.17857508533467
17210,18,55.59792405041372
17211,11,43.54514316105897
17212,13,24.163149959167534
17213,11,30.556070953973098
17214,19,102.38880967909503
17215,15,70.53107924448216
17216,22,48.853040322900675
17217,24,65.95069279415578
17218,15,41.08472245653004
17219,14,44.195544413174964
17220,17,90.68772372669476
17221,20,61.92302642664606
17222,15,74.05664843139647
17223,20,44.306534520434894
17224,12,34.349814105851024
