E, tau, L, rho
2, 1, 100, 0.0112474
2, 1, 100, 0.00620376
2, 1, 100, -0.00156364
2, 1, 100, 0.0019221
2, 1, 100, 0.00159873
2, 1, 100, -0.0103653
2, 1, 100, -0.000964218
2, 1, 100, 0.0054976
2, 1, 100, -0.00346559
2, 1, 100, 0.0190535
2, 1, 100, -0.00487334
2, 1, 100, -0.0017463
2, 1, 100, -0.00587047
2, 1, 100, 0.0131151
2, 1, 100, 0.0101841
2, 1, 100, 0.00731933
2, 1, 100, 0.0115389
2, 1, 100, 0.00790244
2, 1, 100, 0.0029817
2, 1, 100, 0.0120021
2, 1, 100, 0.0147834
2, 1, 100, -0.00746355
2, 1, 100, 0.0183929
2, 1, 100, 0.00571546
2, 1, 100, 0.013515
2, 1, 100, 0.0128637
2, 1, 100, 0.00680066
2, 1, 100, -0.00303032
