E, tau, L, rho
3, 1, 300, 0.875151
3, 1, 300, 0.790889
3, 1, 300, 0.792168
3, 1, 300, 0.792231
3, 1, 300, 0.789076
3, 1, 300, 0.757946
3, 1, 300, 0.807163
3, 1, 300, 0.802415
3, 1, 300, 0.763365
3, 1, 300, 0.799359
3, 1, 300, 0.786183
3, 1, 400, 0.800201
3, 1, 400, 0.85811
3, 1, 400, 0.809097
3, 1, 400, 0.85616
3, 1, 400, 0.859454
3, 1, 400, 0.838673
3, 1, 400, 0.820674
3, 1, 400, 0.815022
3, 1, 400, 0.791807
3, 1, 400, 0.800046
3, 1, 400, 0.846744
3, 1, 400, 0.804165
3, 1, 400, 0.801731
3, 1, 400, 0.816027
3, 1, 400, 0.814927
3, 1, 400, 0.821063
3, 1, 400, 0.78927
3, 1, 400, 0.786008
3, 1, 400, 0.852937
3, 1, 400, 0.842083
3, 1, 400, 0.834777
3, 1, 400, 0.850184
3, 1, 400, 0.839018
3, 1, 400, 0.802227
3, 1, 400, 0.816672
3, 1, 400, 0.786598
3, 1, 400, 0.785342
3, 1, 400, 0.81633
3, 1, 400, 0.729972
3, 1, 400, 0.786177
3, 1, 400, 0.780712
3, 1, 400, 0.738032
3, 1, 400, 0.831139
3, 1, 400, 0.835395
3, 1, 400, 0.760633
3, 1, 400, 0.786617
3, 1, 400, 0.840963
3, 1, 400, 0.816885
3, 1, 400, 0.847015
3, 1, 400, 0.798791
3, 1, 400, 0.856875
3, 1, 400, 0.811184
3, 1, 400, 0.84578
3, 1, 400, 0.808201
3, 1, 400, 0.841479
3, 1, 400, 0.874349
3, 1, 400, 0.775439
3, 1, 400, 0.801609
3, 1, 400, 0.766653
3, 1, 400, 0.797204
