E, tau, L, rho
2, 1, 100, -0.00807831
2, 1, 100, 0.00912919
2, 1, 100, -0.0103181
2, 1, 100, -0.00175061
2, 1, 100, -0.00330426
2, 1, 100, 0.0106703
2, 1, 100, -0.00509495
2, 1, 100, 0.0270193
2, 1, 100, -0.00215577
2, 1, 100, 0.00649478
2, 1, 100, -0.00193084
2, 1, 100, 0.00736901
2, 1, 100, -0.0140337
2, 1, 100, -0.00108048
2, 1, 100, 0.00686626
2, 1, 100, 0.00205754
2, 1, 100, 0.00336135
2, 1, 100, 0.00447039
2, 1, 100, 0.0144302
2, 1, 100, 0.0072259
2, 1, 100, 0.00807575
2, 1, 100, 0.00899661
2, 1, 100, -0.011652
2, 1, 100, -0.00659116
2, 1, 100, 0.00563882
2, 1, 100, 0.00461251
2, 1, 100, -0.000907369
2, 1, 100, 0.00313326
2, 1, 100, -0.00433449
2, 1, 100, -0.00196927
2, 1, 100, 0.00239995
2, 1, 100, 0.00484697
2, 1, 100, 0.0153986
2, 1, 100, -0.00600681
2, 1, 100, -0.0124944
2, 1, 100, 0.00710577
2, 1, 100, 0.0133411
2, 1, 100, 0.00498211
2, 1, 100, 0.00416139
2, 1, 100, 0.0243293
2, 1, 100, 0.0103838
2, 1, 100, 0.00145378
2, 1, 100, 0.00271645
2, 1, 100, -0.000166149
2, 1, 100, -0.0125202
2, 1, 100, -0.00248585
2, 1, 100, 0.0139314
2, 1, 100, 0.000222772
2, 1, 100, 0.015813
2, 1, 100, -0.00435544
2, 1, 100, -0.00114417
2, 1, 100, 0.0138503
2, 1, 100, -0.00177142
2, 1, 100, -0.0043408
2, 1, 100, 0.0183725
2, 1, 100, 0.0134477
2, 1, 100, -0.000456832
2, 1, 100, 0.00194666
2, 1, 100, 0.0142521
2, 1, 100, 0.00269636
2, 1, 100, 0.0172514
2, 1, 100, -0.000608713
2, 1, 100, -0.000308363
2, 1, 100, -0.00895641
2, 1, 100, -0.00386246
2, 1, 100, -0.00317565
2, 1, 100, 0.00530306
2, 1, 100, 0.00720608
2, 1, 100, -0.00913832
2, 1, 100, -0.00481814
2, 1, 100, 0.0136918
2, 1, 100, 0.00875526
2, 1, 100, -0.00436688
2, 1, 100, -0.00609274
2, 1, 100, 0.0110555
2, 1, 100, -0.00752187
2, 1, 100, -0.0044557
2, 1, 100, 0.0124815
2, 1, 100, -0.00836696
2, 1, 100, -0.00257729
2, 1, 100, 0.0177873
2, 1, 100, 0.0218336
2, 1, 100, -0.0142648
2, 1, 100, 0.00759317
2, 1, 100, -0.00208172
2, 1, 100, -0.00189646
2, 1, 100, -0.00219748
2, 1, 100, 0.0133435
2, 1, 100, 0.00262566
2, 1, 100, -0.0177761
2, 1, 100, 0.00289095
2, 1, 100, 0.00789258
2, 1, 100, 0.00597496
2, 1, 100, 0.0106386
2, 1, 100, -0.00459314
2, 1, 100, -0.012138
2, 1, 100, -9.35648e-05
2, 1, 100, 0.00432915
2, 1, 100, -0.00824902
2, 1, 100, -0.0029127
2, 1, 100, 0.00330784
2, 1, 100, 0.0080206
2, 1, 100, 0.00140736
2, 1, 100, 0.00670184
2, 1, 100, -0.00197654
2, 1, 100, -0.00176388
2, 1, 100, 0.00863689
2, 1, 100, 0.00960369
2, 1, 100, -0.000779873
2, 1, 100, -0.00107533
2, 1, 100, 0.0146989
2, 1, 100, 0.0182831
2, 1, 100, 0.0112965
2, 1, 100, -0.00804782
2, 1, 100, -0.00790868
2, 1, 100, 0.0113667
2, 1, 100, -0.00789505
2, 1, 100, 0.00625591
2, 1, 100, 0.00328001
2, 1, 100, 0.00218363
2, 1, 100, 0.00356475
2, 1, 100, -0.00331209
2, 1, 100, 0.0182232
2, 1, 100, 0.015386
2, 1, 100, 0.0143088
2, 1, 100, 0.00746713
2, 1, 100, -0.0042623
2, 1, 100, 0.0054665
2, 1, 100, 0.00641498
2, 1, 100, 0.00684993
2, 1, 100, -0.000268854
2, 1, 100, -0.0137106
2, 1, 100, 0.00489904
2, 1, 100, 0.00564346
2, 1, 100, 0.00898307
2, 1, 100, 0.000360296
2, 1, 100, 0.0139179
2, 1, 100, -0.000754825
2, 1, 100, 0.00235764
2, 1, 100, 0.0233879
2, 1, 100, 0.00419275
2, 1, 100, 0.00824321
2, 1, 100, 0.0155785
2, 1, 100, 0.00497413
2, 1, 100, 0.0225348
2, 1, 100, -0.00382253
2, 1, 100, 0.00115662
